segment,value,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes
level_source,active_external_swing_high,128,0.2578125,2.0546875,0.07776831925178945,1.1153003068829461,263.0,0.515625,0.3046875,0.203125,0.15625,0.703125,40.037109375,27.375,27.19921875,26.875,76.00923534453517,74.54361095358334,17.59375
level_source,active_external_swing_low,186,0.2956989247311828,2.5336021505376345,0.10718734412731284,1.1461693548387097,471.25,0.45161290322580644,0.3333333333333333,0.22580645161290322,0.12903225806451613,0.6827956989247311,37.58467741935484,21.625,26.611559139784948,27.875,76.72527798656898,75.98158813486819,20.543010752688172
level_source,active_internal_swing_high,276,0.2463768115942029,-2.1050724637681157,-0.08431605904647912,0.8876426223167666,-581.0,0.4492753623188406,0.286231884057971,0.18840579710144928,0.12681159420289856,0.7427536231884058,36.278985507246375,20.125,26.8106884057971,27.5,75.84187085191006,74.0,17.318840579710145
level_source,active_internal_swing_low,296,0.32432432432432434,7.556587837837838,0.3012798320806802,1.456502882800143,2236.75,0.5101351351351351,0.38513513513513514,0.2533783783783784,0.17567567567567569,0.652027027027027,43.37162162162162,29.875,25.3125,27.0,75.93696293017865,74.0,20.18581081081081
level_source,ash,1,0.0,-25.25,-1.01,0.0,-25.25,0.0,0.0,0.0,0.0,1.0,10.5,10.5,33.75,33.75,76.52960462206536,76.52960462206536,4.0
level_source,asl,11,0.45454545454545453,11.113636363636363,0.42982683982683995,1.8288135593220338,122.25,0.6363636363636364,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.5454545454545454,46.38636363636363,43.25,20.772727272727273,26.0,77.25753940365747,73.59130434782608,30.0
level_source,loh,13,0.23076923076923078,5.038461538461538,0.19765182186234836,1.2802139037433156,65.5,0.6153846153846154,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.6923076923076923,51.75,35.25,23.384615384615383,25.75,75.47481133938831,74.206336834289,17.307692307692307
level_source,lol,19,0.15789473684210525,-13.381578947368421,-0.5448523748395379,0.36357947434292864,-254.25,0.42105263157894735,0.3684210526315789,0.10526315789473684,0.0,0.8421052631578947,34.10526315789474,21.25,30.44736842105263,27.25,76.29902557505349,74.2,16.42105263157895
level_source,onh,13,0.15384615384615385,-6.019230769230769,-0.24076923076923068,0.7182718271827183,-78.25,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.8461538461538461,25.923076923076923,5.5,29.173076923076923,27.0,77.96349880026615,75.8,10.307692307692308
level_source,onl,31,0.3225806451612903,6.266129032258065,0.2496674426338545,1.3820058997050146,194.25,0.5806451612903226,0.3548387096774194,0.2903225806451613,0.1935483870967742,0.6451612903225806,44.064516129032256,41.0,25.862903225806452,26.75,76.63611929231178,76.0,24.580645161290324
level_source,pdh,5,0.2,-10.2,-0.40800000000000003,0.49504950495049505,-51.0,0.6,0.2,0.2,0.0,0.8,36.45,32.75,27.65,28.25,75.04913362238094,74.4,19.8
level_source,pdl,8,0.125,-9.625,-0.38499999999999995,0.5643564356435643,-77.0,0.25,0.25,0.125,0.125,0.875,65.875,41.0,86.3125,48.625,78.51017167891405,74.66902532454932,6.625
