segment,value,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes,year,setup_family,direction,timeframe
headline_context,aligned,803,0.27895392278953923,1.8577210460772104,0.0740946191211853,1.1041724860335196,1491.75,0.48443337484433374,0.3287671232876712,0.21170610211706103,0.149439601494396,0.7048567870485679,39.796699875467,24.0,27.015255292652554,27.5,75.77216236314872,74.0,18.34246575342466,,,,
headline_context,conflicting,415,0.2746987951807229,1.6403614457831326,0.0657298950100576,1.0918597982660325,680.75,0.4457831325301205,0.3253012048192771,0.23132530120481928,0.13975903614457832,0.7060240963855422,38.8355421686747,19.75,27.16987951807229,27.25,75.75230941404631,74.17290825680178,18.61686746987952,,,,
headline_context,neutral,0,,,,,,,,,,,,,,,,,,,,,
headline_context,unknown,0,,,,,,,,,,,,,,,,,,,,,
intraday_relation,aligned,1119,0.28239499553172476,2.1586237712243075,0.08670437453735051,1.12162638469285,2415.5,0.4709562109025916,0.3315460232350313,0.21894548704200179,0.14745308310991956,0.7015192135835567,39.39901697944593,22.5,26.991510277033065,27.5,75.86932598169587,74.0,18.48704200178731,,,,
intraday_relation,opposed,0,,,,,,,,,,,,,,,,,,,,,
intraday_relation,neutral,99,0.2222222222222222,-2.4545454545454546,-0.10349807599807591,0.8701055726312976,-243.0,0.47474747474747475,0.2828282828282828,0.21212121212121213,0.13131313131313133,0.7474747474747475,40.26262626262626,29.0,27.931818181818183,27.0,74.59069707999971,73.83892736447078,17.858585858585858,,,,
intraday_relation,unknown,0,,,,,,,,,,,,,,,,,,,,,
year_htf_context,aligned,203,0.33004926108374383,2.231527093596059,0.09044679068553899,1.1337269372693728,453.0,0.5270935960591133,0.35467980295566504,0.1921182266009852,0.11330049261083744,0.6600985221674877,39.467980295566505,29.0,24.20566502463054,26.5,75.57031070358983,73.79118030143275,23.945812807881772,2023,,,
year_htf_context,conflicting,141,0.3120567375886525,3.900709219858156,0.1558096585460476,1.2342917997870075,550.0,0.49645390070921985,0.3333333333333333,0.24113475177304963,0.1276595744680851,0.6595744680851063,40.10283687943262,23.5,24.838652482269502,26.75,75.8856327051362,74.41566826289487,23.375886524822697,2023,,,
year_htf_context,neutral,0,,,,,,,,,,,,,,,,,,2023,,,
year_htf_context,unknown,0,,,,,,,,,,,,,,,,,,2023,,,
year_htf_context,aligned,265,0.26037735849056604,-0.8122641509433962,-0.03130715004886534,0.9554255539449161,-215.25,0.44150943396226416,0.2981132075471698,0.2,0.12830188679245283,0.7169811320754716,36.508490566037736,21.0,26.000943396226415,27.0,75.88530462218117,74.0,19.652830188679246,2024,,,
year_htf_context,conflicting,123,0.3008130081300813,2.2886178861788617,0.0908980681598529,1.1324394260174078,281.5,0.44715447154471544,0.3333333333333333,0.22764227642276422,0.12195121951219512,0.6829268292682927,37.88821138211382,19.25,25.211382113821138,26.75,75.68191061179083,74.0,21.75609756097561,2024,,,
year_htf_context,neutral,0,,,,,,,,,,,,,,,,,,2024,,,
year_htf_context,unknown,0,,,,,,,,,,,,,,,,,,2024,,,
year_htf_context,aligned,335,0.2626865671641791,3.743283582089552,0.147563210173423,1.205455885967068,1254.0,0.4925373134328358,0.3373134328358209,0.23283582089552238,0.1880597014925373,0.7223880597014926,42.59701492537314,26.75,29.520149253731343,28.5,75.80497785045276,74.0,13.91044776119403,2025,,,
year_htf_context,conflicting,151,0.2185430463576159,-0.9983443708609272,-0.038885548407157,0.9486852182792954,-150.75,0.3973509933774834,0.31125827814569534,0.2251655629139073,0.16556291390728478,0.7682119205298014,38.42384105960265,19.0,30.942052980132452,30.0,75.68516019970026,74.05752536356674,11.6158940397351,2025,,,
year_htf_context,neutral,0,,,,,,,,,,,,,,,,,,2025,,,
year_htf_context,unknown,0,,,,,,,,,,,,,,,,,,2025,,,
family_htf_context,aligned,142,0.3028169014084507,5.35387323943662,0.2111770993771147,1.30649062688974,760.25,0.5140845070422535,0.33098591549295775,0.24647887323943662,0.20422535211267606,0.6901408450704225,42.88556338028169,28.5,26.389084507042252,27.0,73.50198494078666,71.97297656635588,16.591549295774648,,continuation,,
