model,threshold,trades,expectancy_points,expectancy_r,profit_factor,win_rate,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate
baseline,70,1218,1.7836617405582922,0.07124456944456953,1.0999735397995927,0.277504105090312,2172.5,0.47126436781609193,0.3275862068965517,0.21839080459770116,0.14614121510673234,0.7052545155993432
baseline,80,260,5.325,0.21173423619862353,1.2969436997319035,0.28076923076923077,1384.5,0.4653846153846154,0.34615384615384615,0.2423076923076923,0.2,0.7115384615384616
baseline,90,21,13.702380952380953,0.5480952380952382,1.8766184310738767,0.38095238095238093,287.75,0.5714285714285714,0.5238095238095238,0.2857142857142857,0.23809523809523808,0.6190476190476191
candidate_conservative,70,1124,1.8318505338078293,0.07334375941591252,1.1023957828254571,0.27669039145907476,2059.0,0.4697508896797153,0.32829181494661924,0.21708185053380782,0.1494661921708185,0.7072953736654805
candidate_conservative,80,295,5.070338983050847,0.2010590891281224,1.2871334645102461,0.29152542372881357,1495.75,0.48135593220338985,0.34576271186440677,0.23389830508474577,0.1864406779661017,0.7016949152542373
candidate_conservative,90,28,7.794642857142857,0.3117857142857143,1.4549244398124024,0.32142857142857145,218.25,0.5,0.4642857142857143,0.25,0.17857142857142858,0.6785714285714286
candidate_evidence_tilt,70,1003,2.3494516450648057,0.0936597585389387,1.1318948870791705,0.28015952143569295,2356.5,0.47357926221335994,0.3349950149551346,0.22033898305084745,0.1535393818544367,0.7048853439680958
candidate_evidence_tilt,80,377,7.070954907161804,0.281140231440709,1.4140649269959615,0.3156498673740053,2665.75,0.4854111405835544,0.35013262599469497,0.246684350132626,0.1989389920424403,0.6790450928381963
candidate_evidence_tilt,90,70,12.939285714285715,0.5168496240601504,1.7980176211453744,0.35714285714285715,905.75,0.5428571428571428,0.4714285714285714,0.3,0.24285714285714285,0.6428571428571429
candidate_redundancy_reduced,70,935,2.268181818181818,0.09044624031902289,1.126972010178117,0.279144385026738,2120.75,0.4727272727272727,0.33475935828877007,0.22032085561497325,0.15508021390374332,0.706951871657754
candidate_redundancy_reduced,80,368,5.724864130434782,0.2273410181754215,1.3282053279326997,0.3016304347826087,2106.75,0.4782608695652174,0.3423913043478261,0.2418478260869565,0.19293478260869565,0.6929347826086957
candidate_redundancy_reduced,90,84,15.863095238095237,0.6372302576473046,2.0169814920816638,0.38095238095238093,1332.5,0.5595238095238095,0.4880952380952381,0.30952380952380953,0.25,0.6190476190476191
