component,dimension,value,with_trades,without_trades,with_expectancy,without_expectancy,expectancy_lift,with_pf,without_pf,pf_lift
higher_timeframe_bias,overall,all,1119,99,2.1586237712243075,-2.4545454545454546,4.613169225769762,1.12162638469285,0.8701055726312976,0.2515208120615524
higher_timeframe_bias,year,2023,307,37,2.952768729641694,2.608108108108108,0.3446606215335861,1.177484092021537,1.153784860557769,0.023699231463768067
higher_timeframe_bias,year,2024,355,33,0.532394366197183,-3.7196969696969697,4.252091335894153,1.0298719772403984,0.8043824701195219,0.22548950712087645
higher_timeframe_bias,year,2025,457,29,2.888402625820569,-7.474137931034483,10.362540556855052,1.156667260103258,0.6479902557856273,0.5086770043176306
higher_timeframe_bias,direction,long,608,45,3.3560855263157894,-2.7333333333333334,6.089418859649123,1.1953613059192418,0.8549528301886793,0.34040847573056254
higher_timeframe_bias,direction,short,511,54,0.7338551859099804,-2.2222222222222223,2.9560774081322028,1.0398290008231328,0.8826692740161329,0.15715972680699986
higher_timeframe_bias,family,reversal,940,93,1.3864361702127659,-2.4408602150537635,3.8272963852665294,1.0776876993234181,0.8706552706552707,0.20703242866814742
higher_timeframe_bias,family,continuation,179,6,6.2136871508379885,-2.6666666666666665,8.880353817504655,1.360593289025774,0.8617710583153347,0.4988222307104392
liquidity_sweep,overall,all,1033,185,1.0418683446272992,5.925675675675675,-4.883807331048376,1.0580799222902781,1.3425513631747519,-0.28447144088447374
liquidity_sweep,year,2023,298,46,2.785234899328859,3.760869565217391,-0.9756346658885322,1.167423096318709,1.222508038585209,-0.05508494226649985
liquidity_sweep,year,2024,328,60,-1.6051829268292683,9.879166666666666,-11.484349593495935,0.9123960066555741,1.627580730545262,-0.715184723889688
liquidity_sweep,year,2025,407,79,1.8986486486486487,4.1835443037974684,-2.2848956551488198,1.102175062805765,1.223575173346863,-0.121400110541098
liquidity_sweep,direction,long,578,75,3.1219723183391004,1.5066666666666666,1.6153056516724338,1.1809476059162698,1.08558985040712,0.09535775550914982
liquidity_sweep,direction,short,455,110,-1.6005494505494506,8.938636363636364,-10.539185814185815,0.9149041832203786,1.523005319148936,-0.6081011359285575
liquidity_sweep,family,reversal,1033,0,1.0418683446272992,,,1.0580799222902781,,
liquidity_sweep,family,continuation,0,185,,5.925675675675675,,,1.3425513631747519,
displacement,overall,all,891,327,2.7685185185185186,-0.8998470948012233,3.6683656133197418,1.157675221323788,0.9516533169028548,0.20602190442093316
displacement,year,2023,267,77,2.3614232209737827,4.837662337662338,-2.4762391166885553,1.1407680285778075,1.296576433121019,-0.15580840454321154
displacement,year,2024,291,97,1.6073883161512028,-4.139175257731959,5.7465635738831615,1.0919003880347757,0.7846896366805202,0.3072107513542556
displacement,year,2025,333,153,4.10960960960961,-1.7336601307189543,5.843269740328564,1.2252396823437435,0.9105547125273984,0.3146849698163451
displacement,direction,long,468,185,3.7446581196581197,0.8918918918918919,2.852766227766228,1.220940494200706,1.049096183887525,0.17184431031318104
displacement,direction,short,423,142,1.6885342789598108,-3.234154929577465,4.9226892085372755,1.092609400324149,0.8314988075582462,0.26111059276590287
displacement,family,reversal,735,298,1.5962585034013606,-0.32550335570469796,1.9217618591060586,1.0899024922894198,0.9823000775512066,0.10760241473821319
