segment,year,value,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes
overall,2023,all,344,0.3226744186046512,2.9156976744186047,0.11723796617487538,1.1748910200523104,1003.0,0.5145348837209303,0.34593023255813954,0.21220930232558138,0.11918604651162791,0.6598837209302325,39.7281976744186,27.125,24.46511627906977,26.625,75.69955605887482,73.9654434864438,23.712209302325583
overall,2024,all,388,0.27319587628865977,0.17074742268041238,0.007433163970908702,1.0095262060536343,66.25,0.44329896907216493,0.30927835051546393,0.20876288659793815,0.12628865979381443,0.7061855670103093,36.9458762886598,20.5,25.750644329896907,27.0,75.82082662404196,74.0,20.31958762886598
overall,2025,all,486,0.24897119341563786,2.2700617283950617,0.089633657610321,1.1220240564081294,1103.25,0.46296296296296297,0.3292181069958848,0.23045267489711935,0.18106995884773663,0.7366255144032922,41.300411522633745,23.0,29.9619341563786,29.0,75.76775055567161,74.0,13.197530864197532
direction,2023,long,181,0.32044198895027626,2.3314917127071824,0.09308516761005256,1.1391705829004863,422.0,0.5082872928176796,0.3425414364640884,0.2154696132596685,0.10497237569060773,0.6629834254143646,38.91160220994475,26.0,24.689226519337016,26.5,75.83231843342313,74.0,23.56353591160221
direction,2023,short,163,0.32515337423312884,3.5644171779141103,0.14405794494931048,1.2149662380908335,581.0,0.5214723926380368,0.3496932515337423,0.2085889570552147,0.13496932515337423,0.656441717791411,40.63496932515337,29.0,24.216257668711656,26.75,75.55213280860954,73.94562482491013,23.87730061349693
direction,2024,long,221,0.2986425339366516,1.504524886877828,0.06076716122628852,1.08675233187659,332.5,0.47058823529411764,0.3393665158371041,0.21266968325791855,0.11312217194570136,0.6832579185520362,37.581447963800905,22.75,25.892533936651585,27.0,76.15338229861904,74.42254928327877,22.592760180995477
direction,2024,short,167,0.23952095808383234,-1.594311377245509,-0.06314655694788733,0.9147112997517418,-266.25,0.40718562874251496,0.2694610778443114,0.20359281437125748,0.1437125748502994,0.7365269461077845,36.104790419161674,17.75,25.562874251497007,27.0,75.38073797684717,73.796992481203,17.311377245508982
direction,2025,long,251,0.28286852589641437,4.633466135458168,0.18570999023474874,1.2626616227203433,1163.0,0.4541832669322709,0.3426294820717131,0.23904382470119523,0.18326693227091634,0.6972111553784861,42.43127490039841,23.75,30.427290836653388,28.75,76.28056288777452,74.62784529603786,15.784860557768924
direction,2025,short,235,0.2127659574468085,-0.2542553191489362,-0.012984042341727375,0.9870488782919692,-59.75,0.4723404255319149,0.3148936170212766,0.22127659574468084,0.17872340425531916,0.7787234042553192,40.09255319148936,22.0,29.464893617021275,29.0,75.22002334138301,73.37932057059031,10.434042553191489
setup_family,2023,reversal,298,0.3221476510067114,2.785234899328859,0.11282600778132931,1.167423096318709,830.0,0.5201342281879194,0.3523489932885906,0.21476510067114093,0.11409395973154363,0.6577181208053692,39.81375838926174,28.25,24.482382550335572,26.5,76.13166289562929,74.57530971506215,23.553691275167786
setup_family,2023,continuation,46,0.32608695652173914,3.760869565217391,0.14581978359393447,1.222508038585209,173.0,0.4782608695652174,0.30434782608695654,0.1956521739130435,0.15217391304347827,0.6739130434782609,39.17391304347826,23.0,24.35326086956522,26.75,72.90025524685676,71.73182261669449,24.73913043478261
setup_family,2024,reversal,328,0.25609756097560976,-1.6051829268292683,-0.0627285107257421,0.9123960066555741,-526.5,0.4329268292682927,0.3018292682926829,0.19207317073170732,0.10670731707317073,0.7225609756097561,35.80487804878049,20.5,25.960365853658537,27.125,76.22860475088137,74.54179357279497,20.713414634146343
setup_family,2024,continuation,60,0.36666666666666664,9.879166666666666,0.3909836523125998,1.627580730545262,592.75,0.5,0.35,0.3,0.23333333333333334,0.6166666666666667,43.18333333333333,22.375,24.604166666666668,25.625,73.59163953065321,71.85233676782215,18.166666666666668
setup_family,2025,reversal,407,0.24815724815724816,1.8986486486486487,0.07464956821936768,1.102175062805765,772.75,0.4398034398034398,0.32186732186732187,0.22604422604422605,0.17444717444717445,0.7371007371007371,40.2487714987715,21.25,30.262285012285012,28.75,76.27205380260195,74.60436599443038,13.582309582309582
setup_family,2025,continuation,79,0.25316455696202533,4.1835443037974684,0.1668301687763714,1.223575173346863,330.5,0.5822784810126582,0.3670886075949367,0.25316455696202533,0.21518987341772153,0.7341772151898734,46.71835443037975,35.75,28.414556962025316,30.25,73.16963129616988,71.75193253480862,11.215189873417721
score_band,2023,70-79,268,0.33955223880597013,3.6166044776119404,0.14635298776194733,1.2228801379706813,969.25,0.5186567164179104,0.34701492537313433,0.208955223880597,0.11567164179104478,0.6417910447761194,39.86847014925373,27.875,24.21828358208955,26.75,73.3936741813097,73.0,23.932835820895523
score_band,2023,80-89,73,0.2465753424657534,-0.6678082191780822,-0.030037539123900635,0.9641807494489346,-48.75,0.4931506849315068,0.3287671232876712,0.2191780821917808,0.136986301369863,0.7397260273972602,38.72945205479452,22.5,25.695205479452056,26.75,83.39277247796065,83.29008884894694,22.232876712328768
score_band,2023,90-100,3,0.6666666666666666,27.5,1.1000000000000003,4.267326732673268,82.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,51.5,54.75,16.583333333333332,14.0,94.49007092360341,94.11309565369314,40.0
score_band,2024,70-79,305,0.2786885245901639,-0.24016393442622952,-0.00894826392291033,0.986410648856732,-73.25,0.4524590163934426,0.3081967213114754,0.20655737704918034,0.11475409836065574,0.6950819672131148,37.26229508196721,21.5,25.86393442622951,27.0,73.49198783389204,73.0,21.39344262295082
score_band,2024,80-89,78,0.2692307692307692,3.407051282051282,0.1367088220153875,1.1848052851182198,265.75,0.41025641025641024,0.3076923076923077,0.23076923076923078,0.1794871794871795,0.7307692307692307,35.958333333333336,11.75,24.89423076923077,26.75,83.71059907008258,83.59244487472412,16.423076923076923
score_band,2024,90-100,5,0.0,-25.25,-1.01,0.0,-126.25,0.4,0.4,0.0,0.0,1.0,33.05,20.0,32.2,27.25,94.79954266495278,95.32470327377072,15.6
score_band,2025,70-79,385,0.23116883116883116,-0.2805194805194805,-0.012385444290573096,0.9852645222908211,-108.0,0.45714285714285713,0.3168831168831169,0.21818181818181817,0.15584415584415584,0.7532467532467533,40.342207792207795,22.75,29.587662337662337,29.25,73.459105656283,73.0,13.787012987012988
score_band,2025,80-89,88,0.29545454545454547,9.997159090909092,0.39852674602825733,1.5730337078651686,879.75,0.4659090909090909,0.3522727272727273,0.26136363636363635,0.26136363636363635,0.6931818181818182,42.64204545454545,22.25,31.321022727272727,27.5,83.29092151563832,83.035116193617,10.738636363636363
score_band,2025,90-100,13,0.46153846153846156,25.5,1.02,2.8755304101838757,331.5,0.6153846153846154,0.5384615384615384,0.38461538461538464,0.38461538461538464,0.5384615384615384,60.59615384615385,65.75,31.846153846153847,28.5,93.21307684702181,92.88997429305913,12.384615384615385
setup_family,2023,continuation,46,0.32608695652173914,3.760869565217391,0.14581978359393447,1.222508038585209,173.0,0.4782608695652174,0.30434782608695654,0.1956521739130435,0.15217391304347827,0.6739130434782609,39.17391304347826,23.0,24.35326086956522,26.75,72.90025524685676,71.73182261669449,24.73913043478261
setup_family,2024,continuation,60,0.36666666666666664,9.879166666666666,0.3909836523125998,1.627580730545262,592.75,0.5,0.35,0.3,0.23333333333333334,0.6166666666666667,43.18333333333333,22.375,24.604166666666668,25.625,73.59163953065321,71.85233676782215,18.166666666666668
setup_family,2025,continuation,79,0.25316455696202533,4.1835443037974684,0.1668301687763714,1.223575173346863,330.5,0.5822784810126582,0.3670886075949367,0.25316455696202533,0.21518987341772153,0.7341772151898734,46.71835443037975,35.75,28.414556962025316,30.25,73.16963129616988,71.75193253480862,11.215189873417721
setup_family,2023,reversal,298,0.3221476510067114,2.785234899328859,0.11282600778132931,1.167423096318709,830.0,0.5201342281879194,0.3523489932885906,0.21476510067114093,0.11409395973154363,0.6577181208053692,39.81375838926174,28.25,24.482382550335572,26.5,76.13166289562929,74.57530971506215,23.553691275167786
setup_family,2024,reversal,328,0.25609756097560976,-1.6051829268292683,-0.0627285107257421,0.9123960066555741,-526.5,0.4329268292682927,0.3018292682926829,0.19207317073170732,0.10670731707317073,0.7225609756097561,35.80487804878049,20.5,25.960365853658537,27.125,76.22860475088137,74.54179357279497,20.713414634146343
setup_family,2025,reversal,407,0.24815724815724816,1.8986486486486487,0.07464956821936768,1.102175062805765,772.75,0.4398034398034398,0.32186732186732187,0.22604422604422605,0.17444717444717445,0.7371007371007371,40.2487714987715,21.25,30.262285012285012,28.75,76.27205380260195,74.60436599443038,13.582309582309582
direction,2023,long,181,0.32044198895027626,2.3314917127071824,0.09308516761005256,1.1391705829004863,422.0,0.5082872928176796,0.3425414364640884,0.2154696132596685,0.10497237569060773,0.6629834254143646,38.91160220994475,26.0,24.689226519337016,26.5,75.83231843342313,74.0,23.56353591160221
direction,2024,long,221,0.2986425339366516,1.504524886877828,0.06076716122628852,1.08675233187659,332.5,0.47058823529411764,0.3393665158371041,0.21266968325791855,0.11312217194570136,0.6832579185520362,37.581447963800905,22.75,25.892533936651585,27.0,76.15338229861904,74.42254928327877,22.592760180995477
direction,2025,long,251,0.28286852589641437,4.633466135458168,0.18570999023474874,1.2626616227203433,1163.0,0.4541832669322709,0.3426294820717131,0.23904382470119523,0.18326693227091634,0.6972111553784861,42.43127490039841,23.75,30.427290836653388,28.75,76.28056288777452,74.62784529603786,15.784860557768924
direction,2023,short,163,0.32515337423312884,3.5644171779141103,0.14405794494931048,1.2149662380908335,581.0,0.5214723926380368,0.3496932515337423,0.2085889570552147,0.13496932515337423,0.656441717791411,40.63496932515337,29.0,24.216257668711656,26.75,75.55213280860954,73.94562482491013,23.87730061349693
direction,2024,short,167,0.23952095808383234,-1.594311377245509,-0.06314655694788733,0.9147112997517418,-266.25,0.40718562874251496,0.2694610778443114,0.20359281437125748,0.1437125748502994,0.7365269461077845,36.104790419161674,17.75,25.562874251497007,27.0,75.38073797684717,73.796992481203,17.311377245508982
direction,2025,short,235,0.2127659574468085,-0.2542553191489362,-0.012984042341727375,0.9870488782919692,-59.75,0.4723404255319149,0.3148936170212766,0.22127659574468084,0.17872340425531916,0.7787234042553192,40.09255319148936,22.0,29.464893617021275,29.0,75.22002334138301,73.37932057059031,10.434042553191489
score_band_exp004,2023,70-79,268,0.33955223880597013,3.6166044776119404,0.14635298776194733,1.2228801379706813,969.25,0.5186567164179104,0.34701492537313433,0.208955223880597,0.11567164179104478,0.6417910447761194,39.86847014925373,27.875,24.21828358208955,26.75,73.3936741813097,73.0,23.932835820895523
score_band_exp004,2024,70-79,305,0.2786885245901639,-0.24016393442622952,-0.00894826392291033,0.986410648856732,-73.25,0.4524590163934426,0.3081967213114754,0.20655737704918034,0.11475409836065574,0.6950819672131148,37.26229508196721,21.5,25.86393442622951,27.0,73.49198783389204,73.0,21.39344262295082
score_band_exp004,2025,70-79,385,0.23116883116883116,-0.2805194805194805,-0.012385444290573096,0.9852645222908211,-108.0,0.45714285714285713,0.3168831168831169,0.21818181818181817,0.15584415584415584,0.7532467532467533,40.342207792207795,22.75,29.587662337662337,29.25,73.459105656283,73.0,13.787012987012988
score_band_exp004,2023,80-89,73,0.2465753424657534,-0.6678082191780822,-0.030037539123900635,0.9641807494489346,-48.75,0.4931506849315068,0.3287671232876712,0.2191780821917808,0.136986301369863,0.7397260273972602,38.72945205479452,22.5,25.695205479452056,26.75,83.39277247796065,83.29008884894694,22.232876712328768
score_band_exp004,2024,80-89,78,0.2692307692307692,3.407051282051282,0.1367088220153875,1.1848052851182198,265.75,0.41025641025641024,0.3076923076923077,0.23076923076923078,0.1794871794871795,0.7307692307692307,35.958333333333336,11.75,24.89423076923077,26.75,83.71059907008258,83.59244487472412,16.423076923076923
score_band_exp004,2025,80-89,88,0.29545454545454547,9.997159090909092,0.39852674602825733,1.5730337078651686,879.75,0.4659090909090909,0.3522727272727273,0.26136363636363635,0.26136363636363635,0.6931818181818182,42.64204545454545,22.25,31.321022727272727,27.5,83.29092151563832,83.035116193617,10.738636363636363
score_band_exp004,2023,90-100,3,0.6666666666666666,27.5,1.1000000000000003,4.267326732673268,82.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,51.5,54.75,16.583333333333332,14.0,94.49007092360341,94.11309565369314,40.0
score_band_exp004,2024,90-100,5,0.0,-25.25,-1.01,0.0,-126.25,0.4,0.4,0.0,0.0,1.0,33.05,20.0,32.2,27.25,94.79954266495278,95.32470327377072,15.6
score_band_exp004,2025,90-100,13,0.46153846153846156,25.5,1.02,2.8755304101838757,331.5,0.6153846153846154,0.5384615384615384,0.38461538461538464,0.38461538461538464,0.5384615384615384,60.59615384615385,65.75,31.846153846153847,28.5,93.21307684702181,92.88997429305913,12.384615384615385
htf_bias,2023,bearish,144,0.3402777777777778,4.470486111111111,0.1816204846433498,1.273586910327242,643.75,0.5277777777777778,0.3680555555555556,0.2152777777777778,0.1388888888888889,0.6458333333333334,41.239583333333336,29.375,23.45659722222222,26.625,75.78630664455356,73.98417832054994,24.46527777777778
htf_bias,2024,bearish,152,0.23684210526315788,-2.1973684210526314,-0.08614190952889753,0.8837452140619562,-334.0,0.40789473684210525,0.26973684210526316,0.20394736842105263,0.13815789473684212,0.743421052631579,35.66940789473684,17.875,25.72203947368421,27.0,75.53082522150699,73.91489432081843,17.519736842105264
htf_bias,2025,bearish,215,0.2186046511627907,0.30348837209302326,0.010005814184623558,1.0155755803544788,65.25,0.4790697674418605,0.31627906976744186,0.22325581395348837,0.1813953488372093,0.772093023255814,39.895348837209305,20.5,29.391860465116277,29.25,75.3448820483185,73.37932057059031,10.52093023255814
htf_bias,2023,bullish,163,0.3128834355828221,1.611963190184049,0.06428475667128536,1.0953893628607734,262.75,0.49693251533742333,0.34355828220858897,0.2085889570552147,0.09815950920245399,0.6687116564417178,38.10889570552147,24.25,24.91871165644172,26.5,75.74245931506105,73.8546329723225,23.533742331288344
htf_bias,2024,bullish,203,0.3103448275862069,2.5763546798029555,0.10369232823157516,1.1514186450492183,523.0,0.46798029556650245,0.3448275862068966,0.21674876847290642,0.11822660098522167,0.6699507389162561,37.9064039408867,22.75,25.567733990147783,27.0,76.26155135018787,74.42254928327877,22.60591133004926
htf_bias,2025,bullish,242,0.2892561983471074,5.184917355371901,0.20778184937571048,1.2961935674240188,1254.75,0.45454545454545453,0.34297520661157027,0.23553719008264462,0.1859504132231405,0.6942148760330579,42.32644628099174,23.75,30.350206611570247,28.875,76.35370557934431,74.65982142637844,15.760330578512397
htf_bias,2023,neutral,37,0.2972972972972973,2.608108108108108,0.09994851994852,1.153784860557769,96.5,0.5405405405405406,0.2702702702702703,0.21621621621621623,0.13513513513513514,0.6756756756756757,40.979729729729726,32.0,26.39189189189189,26.75,75.17292592114262,74.206336834289,21.56756756756757
htf_bias,2024,neutral,33,0.21212121212121213,-3.7196969696969697,-0.1536940836940837,0.8043824701195219,-122.75,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.12121212121212122,0.7575757575757576,36.916666666666664,21.25,27.007575757575758,27.25,74.44546582942671,73.58044502904747,19.151515151515152
htf_bias,2025,neutral,29,0.13793103448275862,-7.474137931034483,-0.30594827586206896,0.6479902557856273,-216.75,0.41379310344827586,0.3103448275862069,0.2413793103448276,0.13793103448275862,0.8275862068965517,43.1551724137931,30.5,30.948275862068964,26.75,74.0131165333315,73.58785292853206,11.655172413793103
htf_alignment_exp004,2023,aligned,307,0.3257328990228013,2.952768729641694,0.11932171050834488,1.177484092021537,906.5,0.511400651465798,0.3550488599348534,0.21172638436482086,0.11726384364820847,0.6579804560260586,39.57736156351792,26.75,24.232899022801302,26.5,75.76302614062105,73.96253033178772,23.97068403908795
htf_alignment_exp004,2024,aligned,355,0.27887323943661974,0.532394366197183,0.022411189810189688,1.0298719772403984,189.0,0.4422535211267606,0.3126760563380282,0.2112676056338028,0.1267605633802817,0.7014084507042253,36.94859154929578,20.0,25.633802816901408,27.0,75.94867706410479,74.0,20.428169014084506
htf_alignment_exp004,2025,aligned,457,0.25601750547045954,2.888402625820569,0.11473623106918161,1.156667260103258,1320.0,0.4660831509846827,0.3304157549234136,0.22975929978118162,0.1838074398249453,0.7308533916849015,41.18271334792122,22.75,29.899343544857768,29.0,75.87909494658601,74.0,13.295404814004376
htf_alignment_exp004,2023,neutral/unknown,37,0.2972972972972973,2.608108108108108,0.09994851994852,1.153784860557769,96.5,0.5405405405405406,0.2702702702702703,0.21621621621621623,0.13513513513513514,0.6756756756756757,40.979729729729726,32.0,26.39189189189189,26.75,75.17292592114262,74.206336834289,21.56756756756757
