component_a,component_b,phi,jaccard,a_active,b_active,both_active,a_when_b,b_when_a,neither_expectancy,a_only_expectancy,b_only_expectancy,both_expectancy,a_added_to_b_expectancy,b_added_to_a_expectancy,a_added_to_b_pf,b_added_to_a_pf,abs_phi
signal_to_noise,room_to_target,-0.16677852886504727,0.29720853858784896,377,1203,362,0.30091438071487947,0.9602122015915119,,18.183333333333334,2.178061831153389,0.1878453038674033,-1.9902165272859855,-17.995488029465932,-0.11309553886061652,-1.189994458092426,0.16677852886504727
structure_shift,signal_to_noise,-0.16245591163510245,0.21743486973947895,838,377,217,0.5755968169761273,0.25894988066825775,0.9102272727272728,2.6272141706924317,-4.409375,4.821428571428571,9.23080357142857,2.1942144007361395,0.5046003754760476,0.1278135389101065,0.16245591163510245
displacement,signal_to_noise,-0.15142358474820825,0.23106796116504855,891,377,238,0.6312997347480106,0.2671156004489338,0.25930851063829785,2.7304747320061256,-2.4676258992805757,2.8728991596638656,5.340525058944442,0.14242442765774,0.2916177936915254,0.003644102490911072,0.15142358474820825
higher_timeframe_bias,structure_shift,-0.14193225911926705,0.618693134822167,1119,838,748,0.8926014319809069,0.6684539767649688,0.9166666666666666,-1.3840970350404314,-2.7916666666666665,3.915775401069519,6.707442067736185,5.2998724361099505,0.36862738863786304,0.2991842489001284,0.14193225911926705
structure_shift,relative_volume,-0.13324281997026532,0.5220017256255393,838,926,605,0.6533477321814255,0.7219570405727923,-2.902542372881356,2.7875536480686693,-1.0404984423676011,3.352479338842975,4.392977781210576,0.5649256907743059,0.24363225520196208,0.022237273873272567,0.13324281997026532
premium_discount,relative_volume,-0.13231756132515488,0.4833916083916084,771,926,553,0.5971922246220303,0.7172503242542153,1.760135135135135,1.5963302752293578,4.57372654155496,-0.021247739602169982,-4.59497428115713,-1.6175780148315277,-0.2644220712442955,-0.0924291548306142,0.13231756132515488
relative_volume,signal_to_noise,-0.13153171442009629,0.2433206106870229,926,377,255,0.6763925729442971,0.275377969762419,2.098529411764706,2.1982116244411327,0.9959016393442623,0.8598039215686275,-0.13609771777563484,-1.3384077028725052,-0.012447483379619761,-0.07814828615928415,0.13153171442009629
premium_discount,room_to_target,0.13120641077888592,0.6395348837209303,771,1203,770,0.6400665004156276,0.9987029831387808,21.285714285714285,-25.25,3.552540415704388,0.4694805194805195,-3.0830598962238684,25.71948051948052,-0.17919748639239352,1.0258205064104853,0.13120641077888592
premium_discount,penalty_major_obstacle,-0.13120641077888545,0.0012738853503184713,771,15,1,0.06666666666666667,0.0012970168612191958,3.552540415704388,0.4694805194805195,21.285714285714285,-25.25,-46.535714285714285,-25.71948051948052,-2.4752475247524752,-1.0258205064104853,0.13120641077888545
draw_on_liquidity,signal_to_noise,-0.1284163700853309,0.29528535980148884,1189,377,357,0.946949602122016,0.3002523128679563,30.38888888888889,1.8728966346153846,-13.7375,1.7240896358543418,15.461589635854342,-0.14880699876104275,0.7003416759876915,-0.009970649038944845,0.1284163700853309
