segment,value,setup_family,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes
direction,short,reversal,455,0.23736263736263735,-1.6005494505494506,-0.06427434151299116,0.9149041832203786,-728.25,0.44835164835164837,0.2945054945054945,0.1956043956043956,0.13626373626373625,0.7450549450549451,37.26428571428571,20.25,27.318681318681318,27.5,75.9261576608507,74.0,16.545054945054947
direction,short,continuation,110,0.3181818181818182,8.938636363636364,0.35572314049586795,1.523005319148936,983.25,0.5454545454545454,0.38181818181818183,0.2818181818181818,0.23636363636363636,0.6727272727272727,46.54090909090909,35.5,24.64090909090909,26.5,73.03531490431602,71.69589033409471,15.518181818181818
score_band,70-79,reversal,798,0.2719298245614035,0.1137218045112782,0.0054369318977860485,1.0063586042600896,90.75,0.462406015037594,0.3182957393483709,0.20551378446115287,0.11904761904761904,0.706766917293233,38.447055137844615,22.25,26.979323308270676,27.5,73.73380342520841,73.15217584303844,19.533834586466167
score_band,70-79,continuation,160,0.3,4.3578125,0.1711644532338144,1.2493518104604382,697.25,0.525,0.34375,0.24375,0.19375,0.6875,43.1296875,28.375,26.5046875,27.375,72.04213446425452,71.49479308803595,16.61875
score_band,80-89,reversal,214,0.2616822429906542,3.260514018691589,0.1288827168768323,1.1775332357992494,697.75,0.4439252336448598,0.32710280373831774,0.22897196261682243,0.18691588785046728,0.7289719626168224,38.324766355140184,18.75,27.912383177570092,27.0,83.75762028234783,83.599318225134,15.85981308411215
score_band,80-89,continuation,25,0.36,15.96,0.6384000000000001,1.9876237623762376,399.0,0.56,0.36,0.32,0.28,0.64,47.32,41.75,24.02,26.0,80.90277885245219,80.7014248377034,18.2
score_band,90-100,reversal,21,0.38095238095238093,13.702380952380953,0.5480952380952382,1.8766184310738767,287.75,0.5714285714285714,0.5238095238095238,0.2857142857142857,0.23809523809523808,0.6190476190476191,52.73809523809524,54.75,29.75,26.75,93.77323452889799,93.79766691105944,17.095238095238095
score_band,90-100,continuation,0,,,,,,,,,,,,,,,,,
displacement,False,reversal,298,0.24496644295302014,-3.4261744966442955,-0.13587351652407506,0.8153456617081882,-1021.0,0.40604026845637586,0.28523489932885904,0.19798657718120805,0.09395973154362416,0.7348993288590604,34.238255033557046,18.75,27.08053691275168,27.75,74.75965950582241,73.21424972142444,18.818791946308725
displacement,False,continuation,30,0.3,7.366666666666666,0.2936563573883163,1.417374881964117,221.0,0.5333333333333333,0.43333333333333335,0.26666666666666666,0.23333333333333334,0.7,45.93333333333333,34.0,24.55,26.625,72.45240155005678,71.8573827314584,15.266666666666667
